"Amaze your store visitors with a real-time live chat.","Amaze your store visitors with a real-time live chat."
"Register","Register"
"Settings","Settings"
"Register to Livezhat<sup>&reg;</sup>","Register to Livezhat<sup>&reg;</sup>"
"<b>Start here using Livezhat - 14 days for free and without any commitments!</b>","<b>Start here using Livezhat - 14 days for free and without any commitments!</b>"
"User's name","User's name"
"User's email","User's email"
"Company name","Company name"
"Company id","Company id"
"Enter here company id","Enter here company id"
"Thank you for your Livezhat registration, %s.","Thank you for your Livezhat registration, %s."
"&raquo; <a href=""http://www.livezhat.com/PasswordChange.html?key=%s&email=%s&locale=en"" target=""_new"">Continue to Livezhat account activation</a>","&raquo; <a href=""http://www.livezhat.com/PasswordChange.html?key=%s&email=%s&locale=en"" target=""_new"">Continue to Livezhat account activation</a>"
"Login to your account","Login to your account"
"<a href=""https://livezhat.com/ui.html?email=%s&locale=en"" target=""_new"">here</a>","<a href=""https://livezhat.com/ui.html?email=%s&locale=en"" target=""_new"">here</a>"
"Customer Key","Customer Key"
"Zhat Key","Zhat Key"
"Livezhat registration error : Customer %s already exists with given information","Livezhat registration error : Customer %s already exists with given information"
"Livezhat registration error: %s %s","Livezhat registration error: %s %s"
"Livezhat registration error: Unexpected error, request could not be processed","Livezhat registration error: Unexpected error, request could not be processed"
"Livezhat registration error: Unexpected error, interface returned an unexpected result","Livezhat registration error: Unexpected error, interface returned an unexpected result"
"All fields are mandatory for Livezhat registration","All fields are mandatory for Livezhat registration"
